Stretch;TOTAL;MAMMAL;BIRD;REPTILE;AMPHIBIAN;;;;
Stretch 1;5;1;1;1;2;0.00;0.00;0.00;0.30
Stretch 2;6;0;0;0;6;0.00;0.00;0.00;0.78
Stretch 3;10;0;0;2;8;0.00;0.00;0.30;0.90
Stretch 4;8;0;2;2;4;0.00;0.30;0.30;0.60
Stretch 5;7;1;0;2;4;0.00;0.00;0.30;0.60
Stretch 6;6;1;2;1;2;0.00;0.30;0.00;0.30
Stretch 7;11;0;2;2;7;0.00;0.30;0.30;0.85
Stretch 8;5;2;1;0;2;0.30;0.00;0.00;0.30
Stretch 9;7;0;1;1;5;0.00;0.00;0.00;0.70
Stretch 10;1;0;0;0;1;0.00;0.00;0.00;0.00
Stretch 11;12;2;2;3;5;0.30;0.30;0.48;0.70
Stretch 12;5;1;2;0;2;0.00;0.30;0.00;0.30
Stretch 13;5;1;1;1;2;0.00;0.00;0.00;0.30
Stretch 14;5;1;0;1;3;0.00;0.00;0.00;0.48
Stretch 15;4;2;0;0;2;0.30;0.00;0.00;0.30
Stretch 16;4;0;2;1;1;0.00;0.30;0.00;0.00
Stretch 17;15;1;2;3;9;0.00;0.30;0.48;0.95
Stretch 18;8;1;0;0;7;0.00;0.00;0.00;0.85
Stretch 19;3;2;0;0;1;0.00;0.00;0.00;0.00
Stretch 20;7;0;3;3;1;0.00;0.48;0.48;0.00
Stretch 21;22;5;3;4;10;0.70;0.48;0.60;1.00
Stretch 22;59;1;10;7;41;0.00;1.00;0.85;1.61
Stretch 23;10;1;1;4;4;0.00;0.00;0.60;0.60
Stretch 24;17;0;1;1;15;0.00;0.00;0.00;1.18
Stretch 25;14;3;7;1;3;0.48;0.85;0.00;0.48
Stretch 26;9;0;3;1;5;0.00;0.48;0.00;0.70
Stretch 27;4;0;4;0;0;0.00;0.60;0.00;0.00
Stretch 28;7;2;1;0;4;0.30;0.00;0.00;0.60
Stretch 29;5;0;1;2;2;0.00;0.00;0.30;0.30
Stretch 30;1;1;0;0;0;0.00;0.00;0.00;0.00
Stretch 31;1;1;0;0;0;0.00;0.00;0.00;0.00
Stretch 32;0;0;0;0;0;0.00;0.00;0.00;0.00
Stretch 33;0;0;0;0;0;0.00;0.00;0.00;0.00
Stretch 34;6;1;3;2;0;0.00;0.48;0.30;0.00
Stretch 35;1;0;1;0;0;0.00;0.00;0.00;0.00
Stretch 36;2;0;1;1;0;0.00;0.00;0.00;0.00
Stretch 37;1;0;0;0;1;0.00;0.00;0.00;0.00
Stretch 38;1;1;0;0;0;0.00;0.00;0.00;0.00
Stretch 39;3;0;2;0;1;0.00;0.30;0.00;0.00
Stretch 40;1;0;0;1;0;0.00;0.00;0.00;0.00
Stretch 41;20;1;0;2;17;0.00;0.00;0.30;1.23
Stretch 42;14;2;2;3;7;0.00;0.30;0.48;0.85
Stretch 43;8;1;1;3;3;0.00;0.00;0.48;0.48
Stretch 44;6;0;1;3;2;0.00;0.00;0.48;0.30
Stretch 45;8;2;2;2;2;0.30;0.30;0.30;0.30
Stretch 46;0;0;0;0;0;0.00;0.00;0.00;0.00
Stretch 47;2;1;0;1;0;0.00;0.00;0.00;0.00
Stretch 48;7;3;1;1;2;0.48;0.00;0.00;0.30
Stretch 49;13;3;3;1;6;0.48;0.48;0.00;0.78
Stretch 50;6;0;0;1;5;0.00;0.00;0.00;0.70
Stretch 51;8;0;0;0;8;0.00;0.00;0.00;0.90
Stretch 52;6;1;0;0;5;0.00;0.00;0.00;0.70
Stretch 53;3;0;0;0;3;0.00;0.00;0.00;0.48
Stretch 54;4;0;1;0;3;0.00;0.00;0.00;0.48
Stretch 55;5;0;0;1;4;0.00;0.00;0.00;0.60
Stretch 56;5;1;2;1;1;0.00;0.30;0.00;0.00
Stretch 57;3;0;3;0;0;0.00;0.48;0.00;0.00
Stretch 58;7;2;4;1;0;0.30;0.60;0.00;0.00
Stretch 59;3;0;0;0;3;0.00;0.00;0.00;0.48
Stretch 60;7;3;2;1;1;0.48;0.30;0.00;0.00
Stretch 61;12;0;1;0;11;0.00;0.00;0.00;1.04
Stretch 62;12;2;1;1;8;0.30;0.00;0.00;0.90
Stretch 63;4;3;0;0;1;0.48;0.00;0.00;0.00
Stretch 64;6;1;3;2;0;0.00;0.48;0.30;0.00
Stretch 65;2;1;0;1;0;0.00;0.00;0.00;0.00
Stretch 66;2;0;1;1;0;0.00;0.00;0.00;0.00
Stretch 67;7;3;3;0;1;0.48;0.48;0.00;0.00
Stretch 68;3;1;0;1;1;0.00;0.00;0.00;0.00
Stretch 69;6;3;0;3;0;0.48;0.00;0.48;0.00
Stretch 70;6;2;0;0;4;0.30;0.00;0.00;0.60
Stretch 71;14;1;4;0;9;0.00;0.60;0.00;0.95
Stretch 72;10;0;4;0;6;0.00;0.60;0.00;0.78
Stretch 73;9;1;2;1;5;0.00;0.30;0.00;0.70
Stretch 74;12;1;0;1;10;0.00;0.00;0.00;1.00
Stretch 75;3;0;1;1;1;0.00;0.00;0.00;0.00
Stretch 76;4;1;1;1;1;0.00;0.00;0.00;0.00
Stretch 77;4;2;1;1;0;0.30;0.00;0.00;0.00
Stretch 78;13;1;2;0;10;0.00;0.30;0.00;1.00
Stretch 79;3;0;1;1;1;0.00;0.00;0.00;0.00
Stretch 80;5;3;0;0;2;0.48;0.00;0.00;0.30
TOTAL;570;78;106;83;303;;;;
;;;;;;;;;
