12º MÊS;;;;;;;12º MÊS;;;;;;;12º MÊS;;;;;;;;;;
01/09/2018;05:30;P05;FLUXO DE VEÍCULOS;359;08:00;;02/09/2018;05:30;P05;FLUXO DE VEÍCULOS;122;08:00;;03/09/2018;05:30;P05;FLUXO DE VEÍCULOS;373;07:31;;;;;
CARRO;;;;;;;CARRO;;;;;;;CARRO;;;;;;;;;;
NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;CARRO;;A PÉ;
1;825;05:37;QUIXADÁ;FAZENDA/PASTO QUEIMADO;Rhinella jimi;;1;840;05:49;MEIO DA ESTRADA;ARBUSTIVA/ARBÓREA/QUEIMADA;ANURO N. I. (PELE);;1;845;05:49;QUIXADÁ;CAMPO/ARBUSTIVA;Philodryas natereri;;TOTAL;26;0;
2;826;05:44;FORTALEZA;FAZENDA/ARBUSTIVA/ARBÓREA;Cerdocyon thous;;2;841;06:05;QUIXADÁ;CAMPO/ARBUSTIVA;Leopardus emiliae;;2;846;05:57;FORTALEZA;PLANTAÇÃO/ARBUTIVA;COBRA PRETA ? QUAL?;;DOMÉSTICO;1;0;
3;827;05:58;QUIXADÁ;ARBUSTIVA/TALUDE ALTO;Cerdocyon thous;;3;842;06:27;MEIO DA ESTRADA;ARBUSTIVA/ARBÓREA;Nystalus maculatus;;3;847;06:06;FORTALEZA;PONTE/ RIACHO;Procyon cancrivorus;;SILVESTRE;25;0;25
4;828;06:16;QUIXADÁ;ARBUSTIVA/ARBÓREA;Cerdocyon thous;;4;843;06:59;FORTALEZA;ARBUSTIVA/ARBÓREA (JUREMA);CACHORRO;;4;848;06:28;QUIXADÁ;ARBUSTIVA/PASTO;PASSARINHO (PITIGUARI?);;;;;
5;829;06:40;QUIXADÁ;ARBUSTIVA/ARBÓREA;Sporophila albogularis;;5;844;07:49;QUIXADÁ;ARBUSTIVA;Boa constrictor;;5;850;06:53;QUIXADÁ;ARBUSTIVA/ARBÓREA;ANURO (ÓRGÃOS EXPOSTOS);;;;;
6;830;06:31;FORTALEZA;ARBUSTIVA/ARBÓREA;Cerdocyon thous;;12ºmês;INÍCIO;;FINAL;FINAL;;;6;851;07:11;QUIXADÁ;PASTO/ARBUSTIVA;Cerdocyon thous;;;;;
7;831;06:40;FORTALEZA;ARBUSTIVA/ARBÓREA;FALSA JARARACA (?);;02/09/2018;;;;;;;12ºmês;INÍCIO;;FINAL;FINAL;;;;;;
8;832;07:06;FORTALEZA;PASTO/ARBUSTIVA;Coryphospingus pileatus;;1º MONITORAMENTO A PÉ -500 m;;;;;;;03/09/2018;;;;;;;;;;
9;833;07:18;FORTALEZA;ARBUSTIVA/ARBÓREA;Procyon cancrivorus;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;1º MONITORAMENTO A PÉ -500 m;;;;;;;;;;
10;834;07:28;QUIXADÁ;FAZENDA SP/PASTO;Cerdocyon thous;;0;0;0;0;0;0;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;;;;
11;835;07:34;FORTALEZA;ARBUSTIVA/ARBÓREA/PASTO;Cerdocyon thous;;;;;;;;;0;0;0;0;0;0;;;;;
12;836;07:39;QUIXADÁ;ARBUSTIVA/ARBÓREA;Cerdocyon thous;;12º mês;INÍCIO;;FINAL;FINAL;;;;;;;;;;;;;
13;837;07:44;QUIXADÁ;ARBUSTIVA/ARBÓREA;Volatinia jacarina;;02/09/2018;;;;;;;12º mês;INÍCIO;;FINAL;FINAL;;;;;;
14;838;07:49;FORTALEZA;ARBUSTIVA/ARBÓREA;Cerdocyon thous;;2º MONITORAMENTO A PÉ -500 m;;;;;;;03/09/2018;;;;;;;;;;
15;839;08:00;FORTALEZA;ARBUSTIVA/CARNAUBAL;Cerdocyon thous;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;2º MONITORAMENTO A PÉ -500 m;;;;;;;;;;
12ºmês;INÍCIO;;FINAL;FINAL;;;0;0;0;0;0;0;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;;;;
01/09/2018;;;;;;;12º mês;INÍCIO;;FINAL;FINAL;;;0;0;0;0;0;0;;;;;
1º MONITORAMENTO A PÉ -500 m;;;;;;;02/09/2018;;;;;;;12º mês;INÍCIO;;FINAL;FINAL;;;;;;
NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;3º MONITORAMENTO A PÉ -500 m;;;;;;;03/09/2018;;;;;;;;;;
0;0;0;0;0;0;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;3º MONITORAMENTO A PÉ -500 m;;;;;;;;;;
;;;;;;;0;0;0;0;0;0;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;;;;
12º mês;INÍCIO;;FINAL;FINAL;;;;;;;;;;0;0;0;0;0;0;;;;;
01/09/2018;;;;;;;;;;;;;;;;;;;;;;;;
2º MONITORAMENTO A PÉ -500 m;;;;;;;;;;;;;;;;;;;;;;;;
NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
12º mês;INÍCIO;;FINAL;FINAL;;;;;;;;;;;;;;;;;;;;
01/09/2018;;;;;;;;;;;;;;;;;;;;;;;;
3º MONITORAMENTO A PÉ -500 m;;;;;;;;;;;;;;;;;;;;;;;;
NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
