2º MÊS;;;;;;;;2º MÊS;;;;;;;;2º MÊS;;;;;;;
21/10/2017;05:13;P05;;;;;;22/10/2017;05:20;P05;;;;;;23/10/2017;05:10;P05;;FINAL:07:55;;;
CARRO;;;;;;;;CARRO;;;;;;;;CARRO;;;;;;;
NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;FOTO;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;FOTO;;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;FOTO;
1;104;05:15;FORTALEZA;CAATINGA ARBUSTIVA/ AÇUDE EURIPIDES;GAVIÃO;2580/2585;M;1;136;05:35;FORTALEZA;CAATINGA ARBUSTIVA/ARBÓREA;GAVIÃO?;2709/2710;M;1;153;05:25;MEIO DA ESTRADA;CAATINGA ARBUSTIVA;ROLINHA?;2781/2786/2787/2788;P
2;105;05:35;QUIXADÁ;CAATINGA ARBUSTIVA;Coragyps atratus;2586/2591;M;2;137;05:40;QUIXADA;CAATINGA  ARBUSTIVA;Cerdocyon thous;2715;M;2;154;05:35;MEIO DA ESTRADA;CAATINGA ARBUSTIVA/ARBÓREA;Nystalus maculatus;2789/2796;P
3;106;05:45;FORTALEZA;PASTO;Coragyps atratus;2592;M;3;138;05:55;QUIXADA;CAATINGA ARBUSTIVA/PASTO/RIO BARRO VERMELHO;Euphractus sexcinctus;2720;M;3;155;05:45;QUIXADA;CAATINGA ARBUSTIVA/ARBÓREA;Caracara plancus;2798/2799/2806;M
4;107;05:55;FORTALEZA;LACUSTRE;Procyon cancrivorus;2597;M;4;141;06:15;QUIXADA;CAATINGA ARBUSTIVA/ARBÓREA;Philodryas natereri;2735/2736;M;4;160;06:37;MEIO DA ESTRADA;CAATINGA ARBUSTIVA/PASTO;Rhinella jimi;2820;P
5;108;06:00;QUIXADÁ;LACUSTRE;Boa constrictor;2608;M;5;144;06:55;MEIO DA ESTRADA;CAATINGA ARBUSTIVA;Cerdocyon thous;2744/2745;M;5;163;07:10;FORTALEZA;LACUSTRE/PASTO;Cerdocyon thous;2828/2829;M
6;116;06:50;FORTALEZA;CAATINGA ARBUSTIVA/PASTO;VESTÍGIO DE ANURO;2618;P;6;146;07:25;QUIXADA;CAATINGA ARBUSTIVA/PASTO;Rhinella jimi;2749;P;6;164;07:11;FORTALEZA;LACUSTRE/PASTO;GOLINHA?;2835;P
7;117;06:55;QUIXADÁ;LACUSTRE/CARNAUBAL;Coragyps atratus;2628;P;7;147;07:26;QUIXADA;CAATINGA ARBUSTIVA/PASTO;Rhinella jimi;2754;P;7;165;07:15;FORTALEZA;RURAL/LACUSTRE/PASTO;PASSARINHO Ñ IDENT.;2840;P
8;118;07:00;QUIXADÁ;LACUSTRE/CARNAUBAL;EVENTUAL MAMIFERO NI;2634;;8;147;07:26;QUIXADA;CAATINGA ARBUSTIVA/PASTO;SAPO?;2759;P;8;166;07:50;MEIO DA ESTRADA;CAATINGA ARBUSTIVA/ARBÓREA;Crotophaga ani;2851;P
9;119;07:05;QUIXADÁ;CAATINGA ARBUSTIVA/PASTO;Cerdocyon thous;2339;M;9;148;07:26;QUIXADA;CAATINGA ARBUSTIVA/PASTO;SAPO?;2760;P;9;167;"08;00";MEIO DA ESTRADA;CAATINGA ARBUSTIVA/ARBÓREA;ROLINHA?;?;P
10;120;07:20;FORTALEZA;CAATINGA ARBUSTIVA/ARBÓREA;Coragyps atratus;2644;M;10;149;07:30;QUIXADA;CAATINGA ARBUSTIVA/PASTO;ROLINHA;2761;P;2º MÊS;INÍCIO;INÍCIO;FINAL;FINAL;ARBUSTIVA/CAMPO;;
11;121;07:30;QUIXADÁ;CAATINGA ARBUSTIVA/PASTO;Cerdocyon thous;2649;M;11;150;07:30;QUIXADA;CAATINGA ARBUSTIVA/PASTO;SAPO?;2766;P;23/10/2017;05:55;P156;P157;06:10;ARBUSTIVA/CAMPO;;
12;122;07:35;QUIXADÁ;CAATINGA ARBUSTIVA/RIACHO;Coragyps atratus;2654;M;12;151;07:32;FORTALEZA;ALAGADO/PASTO;Rhinella jimi;2767;P;1º MONITORAMENTO A PÉ -500 m;;;;;;;
13;128;07:55;QUIXADÁ;CAATINGA ARBUSTIVA/ARBÓREA;GATO DOMÉSTICO;;;13;151;07:32;FORTALEZA;ALAGADO/PASTO;Rhinella jimi;2772;P;NÚMERO;PONTO;HORA;DIREÇÃO;PAISAGEM;ESPÉCIE;;
14;129;08:00;FORTALEZA;CAATINGA ARBUSTIVA/ARBÓREA;JUMENTO;;;14;152;07:40;FORTALEZA;CAATINGA ARBUSTIVA/RURAL;Rhinella jimi;2773;P;0;0;0;0;0;0;0;
