Table A3. Correlations between rooalkills and seasonal factors;;;;
Grups;Precipitation1;Precipitation2;Humidity1;Tempature1
Total;0.856**;0.715**;0.696**;-0.547
Bird;0.485;0.282;0.166;0.04
Mammal;-0.455;-0.641**;-0.447;0.445
Reptile;0.344;0.487;0.778*;-0.859
Amphibian;0.903*;0.784*;0.745*;-0.577*
Bird 1;0.161;-0.082;-0.225;0.012
Bird 2;0.609**;0.488;0.26;0.127
Bird 3;-0.559;0.062;0.152;0.053
Mam 1;-0.143;-0.639**;-0.596**;0.605
Rep 1;-0.037;0.273;0.467;-0.665
Rep 2;0.865*;0.575;0.696**;-0.597**
Richness;0.613**;0.273;0.561;-0.459
IND L;0.909*;0.783**;0.733**;-0.574
IND B;-0.207;-0.202;0.333;0.123
"1 Pearson correlation; 2 Spearman correlation; *p<0,01; **p<0,05.";;;;
